version,breakdown,segment,total_ecl,total_funded,ecl_ratio_pct,n_loans
baseline,all,all,403536500.57,16997974550.0,2.374,1179687
data_overlay,all,all,390821719.2,16997974550.0,2.2992,1179687
regulatory,all,all,484474529.85,16997974550.0,2.8502,1179687
baseline,stage,1,147787069.27,13361353575.0,1.1061,944678
baseline,stage,2,714084.21,9742850.0,7.3293,583
baseline,stage,3,255035347.09,3626878125.0,7.0318,234426
data_overlay,stage,1,135139336.04,13361353575.0,1.0114,944678
data_overlay,stage,2,647036.07,9742850.0,6.6411,583
data_overlay,stage,3,255035347.09,3626878125.0,7.0318,234426
regulatory,stage,1,228425244.83,13361353575.0,1.7096,944678
regulatory,stage,2,1013937.94,9742850.0,10.407,583
regulatory,stage,3,255035347.09,3626878125.0,7.0318,234426
baseline,grade,A,6770585.79,2853756975.0,0.2373,204038
baseline,grade,B,42087099.16,4580112175.0,0.9189,347299
baseline,grade,C,112109837.78,4690288900.0,2.3903,332304
baseline,grade,D,95633470.59,2672263550.0,3.5787,175155
baseline,grade,E,90484251.32,1494563375.0,6.0542,84313
baseline,grade,F,43527785.2,556596900.0,7.8203,29238
baseline,grade,G,12923470.72,150392675.0,8.5932,7340
data_overlay,grade,A,6639316.58,2853756975.0,0.2327,204038
data_overlay,grade,B,40884617.98,4580112175.0,0.8927,347299
data_overlay,grade,C,108371065.59,4690288900.0,2.3105,332304
data_overlay,grade,D,92438835.93,2672263550.0,3.4592,175155
data_overlay,grade,E,87544031.46,1494563375.0,5.8575,84313
data_overlay,grade,F,42348544.33,556596900.0,7.6085,29238
data_overlay,grade,G,12595307.34,150392675.0,8.3749,7340
regulatory,grade,A,10498802.76,2853756975.0,0.3679,204038
regulatory,grade,B,57078871.55,4580112175.0,1.2462,347299
regulatory,grade,C,139646367.0,4690288900.0,2.9774,332304
regulatory,grade,D,112299327.72,2672263550.0,4.2024,175155
regulatory,grade,E,102677696.11,1494563375.0,6.8701,84313
regulatory,grade,F,48089996.09,556596900.0,8.64,29238
regulatory,grade,G,14183468.63,150392675.0,9.431,7340
baseline,vintage_bucket,2014,17111642.16,3253489500.0,0.5259,223103
baseline,vintage_bucket,2015,144224321.52,5498601150.0,2.6229,375546
baseline,vintage_bucket,2016,177520137.46,4240361600.0,4.1864,293105
baseline,vintage_bucket,2017+,64680399.44,868972875.0,7.4433,59978
baseline,vintage_bucket,pre-2014,0.0,3136549425.0,0.0,227955
data_overlay,vintage_bucket,2014,16522122.43,3253489500.0,0.5078,223103
data_overlay,vintage_bucket,2015,139235920.05,5498601150.0,2.5322,375546
data_overlay,vintage_bucket,2016,172101512.43,4240361600.0,4.0587,293105
data_overlay,vintage_bucket,2017+,62962164.3,868972875.0,7.2456,59978
data_overlay,vintage_bucket,pre-2014,0.0,3136549425.0,0.0,227955
regulatory,vintage_bucket,2014,20142099.45,3253489500.0,0.6191,223103
regulatory,vintage_bucket,2015,169665731.37,5498601150.0,3.0856,375546
regulatory,vintage_bucket,2016,214188546.05,4240361600.0,5.0512,293105
regulatory,vintage_bucket,2017+,80478152.99,868972875.0,9.2613,59978
regulatory,vintage_bucket,pre-2014,0.0,3136549425.0,0.0,227955
baseline,purpose,car,1850106.95,108562975.0,1.7042,12426
baseline,purpose,credit_card,72866949.54,3918700825.0,1.8595,263587
baseline,purpose,debt_consolidation,269820860.95,10487001475.0,2.5729,690871
baseline,purpose,educational,0.0,2177125.0,0.0,326
baseline,purpose,home_improvement,24770492.61,1038715325.0,2.3847,73979
baseline,purpose,house,2004250.67,79441350.0,2.5229,5300
baseline,purpose,major_purchase,7489005.38,283583075.0,2.6409,24705
baseline,purpose,medical,2752519.19,112873525.0,2.4386,12689
baseline,purpose,moving,1404132.58,61632075.0,2.2782,7963
baseline,purpose,other,14821569.02,617908875.0,2.3987,63673
baseline,purpose,renewable_energy,167639.31,7925000.0,2.1153,810
baseline,purpose,small_business,4788755.83,209923050.0,2.2812,13711
baseline,purpose,vacation,798280.56,45518625.0,1.7537,7355
baseline,purpose,wedding,1937.96,24011250.0,0.0081,2292
data_overlay,purpose,car,1784246.54,108562975.0,1.6435,12426
data_overlay,purpose,credit_card,70539643.31,3918700825.0,1.8001,263587
data_overlay,purpose,debt_consolidation,261258788.38,10487001475.0,2.4913,690871
data_overlay,purpose,educational,0.0,2177125.0,0.0,326
data_overlay,purpose,home_improvement,23965012.56,1038715325.0,2.3072,73979
data_overlay,purpose,house,1931437.63,79441350.0,2.4313,5300
data_overlay,purpose,major_purchase,7281408.2,283583075.0,2.5676,24705
data_overlay,purpose,medical,2672801.64,112873525.0,2.368,12689
data_overlay,purpose,moving,1363456.52,61632075.0,2.2123,7963
data_overlay,purpose,other,14398194.92,617908875.0,2.3301,63673
data_overlay,purpose,renewable_energy,162473.59,7925000.0,2.0501,810
data_overlay,purpose,small_business,4681636.1,209923050.0,2.2302,13711
data_overlay,purpose,vacation,780842.71,45518625.0,1.7154,7355
data_overlay,purpose,wedding,1777.08,24011250.0,0.0074,2292
regulatory,purpose,car,2323722.6,108562975.0,2.1404,12426
regulatory,purpose,credit_card,88998007.51,3918700825.0,2.2711,263587
regulatory,purpose,debt_consolidation,322226125.48,10487001475.0,3.0726,690871
regulatory,purpose,educational,0.0,2177125.0,0.0,326
regulatory,purpose,home_improvement,30573929.0,1038715325.0,2.9434,73979
regulatory,purpose,house,2430917.5,79441350.0,3.06,5300
regulatory,purpose,major_purchase,8882579.19,283583075.0,3.1323,24705
regulatory,purpose,medical,3286759.25,112873525.0,2.9119,12689
regulatory,purpose,moving,1648123.73,61632075.0,2.6741,7963
regulatory,purpose,other,17512050.05,617908875.0,2.8341,63673
regulatory,purpose,renewable_energy,200053.15,7925000.0,2.5243,810
regulatory,purpose,small_business,5450578.77,209923050.0,2.5965,13711
regulatory,purpose,vacation,939290.54,45518625.0,2.0635,7355
regulatory,purpose,wedding,2393.08,24011250.0,0.01,2292
